Rec_ID,GeneID,Colour,Cell_Cycle_Cat,Cell_Cycle_Number,Gene_Induction,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,description,type_of_gene,Other_designations,Class
1705,100075474,Red,21-28,26,1,ASB15,-,-,Ensembl:ENSOANG00000004828,10,ankyrin repeat and SOCS box containing 15,protein-coding,ankyrin repeat and SOCS box protein 15,Animal
1706,100075475,Red,21-28,25,0,SCRG1,-,-,Ensembl:ENSOANG00000011492,12,stimulator of chondrogenesis 1,protein-coding,scrapie-responsive protein 1,Animal
1707,100075476,Yellow,13-20,20,1,MAPKAPK3,-,-,Ensembl:ENSOANG00000012789,X2,MAPK activated protein kinase 3,protein-coding,MAP kinase-activated protein kinase 3|mitogen-activated protein kinase-activated protein kinase 3,Animal
1708,100075477,Yellow,21-28,26,1,DEPDC7,-,-,Ensembl:ENSOANG00000015142,3,DEP domain containing 7,protein-coding,DEP domain-containing protein 7,Animal
1709,100075480,Red,21-28,27,1,SUN3,-,-,Ensembl:ENSOANG00000003087,4,Sad1 and UNC84 domain containing 3,protein-coding,SUN domain-containing protein 3,Animal
1710,100075481,Red,21-28,23,1,FIBCD1,-,-,Ensembl:ENSOANG00000001048,4,fibrinogen C domain containing 1,protein-coding,fibrinogen C domain-containing protein 1,Animal
1711,100075482,Green,21-28,25,1,IFFO2,-,-,Ensembl:ENSOANG00000013872,5,intermediate filament family orphan 2,protein-coding,LOW QUALITY PROTEIN: intermediate filament family orphan 2,Animal
1712,100075483,Yellow,13-20,17,0,MIB1,-,-,Ensembl:ENSOANG00000004636,7,mindbomb E3 ubiquitin protein ligase 1,protein-coding,E3 ubiquitin-protein ligase MIB1|mindbomb homolog 1,Animal
1713,100075486,Yellow,21-28,23,0,EIF2B5,-,-,Ensembl:ENSOANG00000001406,1,eukaryotic translation initiation factor 2B subunit epsilon,protein-coding,"translation initiation factor eIF-2B subunit epsilon|eukaryotic translation initiation factor 2B, subunit 5 epsilon, 82kDa",Animal
1714,100075490,Yellow,13-20,14,1,FABP5,-,-,Ensembl:ENSOANG00000003605,7,fatty acid binding protein 5,protein-coding,fatty acid-binding protein 5|fatty acid binding protein 5 (psoriasis-associated),Animal
1715,100075491,Yellow,13-20,18,1,ERP44,-,-,Ensembl:ENSOANG00000002120,X3,endoplasmic reticulum protein 44,protein-coding,endoplasmic reticulum resident protein 44,Animal
1716,100075492,Yellow,13-20,16,1,TPK1,-,-,Ensembl:ENSOANG00000020728,4,thiamin pyrophosphokinase 1,protein-coding,thiamin pyrophosphokinase 1,Animal
1717,100075493,Yellow,13-20,13,1,RBM47,-,-,Ensembl:ENSOANG00000008978,18,RNA binding motif protein 47,protein-coding,RNA-binding protein 47,Animal
1718,100075495,Yellow,21-28,23,1,HECTD2,-,-,Ensembl:ENSOANG00000011999,3,HECT domain E3 ubiquitin protein ligase 2,protein-coding,probable E3 ubiquitin-protein ligase HECTD2|HECT domain containing 2|HECT domain containing E3 ubiquitin protein ligase 2,Animal
1719,100075497,Yellow,5-12,9,1,ABCB9,-,-,Ensembl:ENSOANG00000009131,2,ATP binding cassette subfamily B member 9,protein-coding,"ATP-binding cassette sub-family B member 9|ATP-binding cassette, sub-family B (MDR/TAP), member 9",Animal
1720,100075498,Yellow,13-20,14,1,HMGCS1,-,-,Ensembl:ENSOANG00000048390,3,3-hydroxy-3-methylglutaryl-CoA synthase 1,protein-coding,"hydroxymethylglutaryl-CoA synthase, cytoplasmic|3-hydroxy-3-methylglutaryl-CoA synthase 1 (soluble)",Animal
1721,100075499,Red,13-20,13,1,FKBP15,-,-,Ensembl:ENSOANG00000009709,4,FKBP prolyl isomerase 15,protein-coding,"FK506-binding protein 15|FK506 binding protein 15, 133kDa",Animal
1722,100075500,Red,5-12,9,1,CPNE9,-,-,Ensembl:ENSOANG00000041727,X1,copine family member 9,protein-coding,copine-9|copine family member IX,Animal
1723,100075501,Yellow,13-20,19,1,KDM5C,-,-,Ensembl:ENSOANG00000013587,6,lysine demethylase 5C,protein-coding,lysine-specific demethylase 5C|lysine (K)-specific demethylase 5C,Animal
1724,100075502,Yellow,21-28,24,1,GNE,-,-,Ensembl:ENSOANG00000011137,X5,glucosamine (UDP-N-acetyl)-2-epimerase/N-acetylmannosamine kinase,protein-coding,bifunctional UDP-N-acetylglucosamine 2-epimerase/N-acetylmannosamine kinase,Animal
1725,100075503,Yellow,13-20,14,1,SOX2,-,-,-,1,SRY-box transcription factor 2,protein-coding,transcription factor SOX-2|SRY (sex determining region Y)-box 2|SRY-box 2,Animal
1726,100075504,Yellow,13-20,15,1,SPRED1,-,-,Ensembl:ENSOANG00000037715,13,sprouty related EVH1 domain containing 1,protein-coding,"sprouty-related, EVH1 domain-containing protein 1",Animal
1727,100075505,Yellow,13-20,15,1,PSKH2,-,-,-,4,protein serine kinase H2,protein-coding,serine/threonine-protein kinase H2,Animal
1728,100075506,Red,13-20,17,1,APTX,-,-,-,X5,aprataxin,protein-coding,aprataxin,Animal
1729,100075507,Red,13-20,14,1,CNOT6L,-,-,Ensembl:ENSOANG00000003561,10,CCR4-NOT transcription complex subunit 6 like,protein-coding,CCR4-NOT transcription complex subunit 6-like,Animal
1730,100075508,Yellow,21-28,26,1,ZNFX1,-,-,Ensembl:ENSOANG00000006399,8,zinc finger NFX1-type containing 1,protein-coding,NFX1-type zinc finger-containing protein 1,Animal
1731,100075510,Yellow,5-12,7,1,LOC100075510,-,GEMIN4,-,17,gem-associated protein 4,protein-coding,gem-associated protein 4|gem nuclear organelle associated protein 4,Animal
1732,100075512,Yellow,13-20,18,1,SLC26A2,-,-,Ensembl:ENSOANG00000037790,X1,solute carrier family 26 member 2,protein-coding,"sulfate transporter|solute carrier family 26 (anion exchanger), member 2",Animal
1733,100075513,Red,21-28,26,0,CES4A,-,-,Ensembl:ENSOANG00000005376,X1,carboxylesterase 4A,protein-coding,carboxylesterase 4A,Animal
1734,100075514,Yellow,21-28,22,0,LMOD2,-,-,Ensembl:ENSOANG00000004828,10,leiomodin 2,protein-coding,leiomodin-2|leiomodin 2 (cardiac),Animal
1735,100075515,Red,13-20,20,1,SAP30,-,-,Ensembl:ENSOANG00000011493,12,Sin3A associated protein 30,protein-coding,"LOW QUALITY PROTEIN: histone deacetylase complex subunit SAP30|Sin3A-associated protein, 30kDa",Animal
1736,100075516,Red,13-20,19,1,USP50,-,-,Ensembl:ENSOANG00000006882,5,ubiquitin specific peptidase 50,protein-coding,inactive ubiquitin carboxyl-terminal hydrolase 50,Animal
1737,100075517,Yellow,21-28,27,1,UTRN,-,-,Ensembl:ENSOANG00000005298,2,utrophin,protein-coding,utrophin,Animal
1738,100075518,Yellow,21-28,23,0,NCOA7,-,-,Ensembl:ENSOANG00000042483,2,nuclear receptor coactivator 7,protein-coding,nuclear receptor coactivator 7,Animal
1739,100075519,Green,13-20,17,1,TCP11L1,-,-,-,3,t-complex 11 like 1,protein-coding,"T-complex protein 11-like protein 1|t-complex 11 (mouse)-like 1|t-complex 11, testis-specific-like 1",Animal
1740,100075520,Yellow,21-28,22,1,HUS1,-,-,Ensembl:ENSOANG00000020220,4,HUS1 checkpoint clamp component,protein-coding,checkpoint protein HUS1|HUS1 checkpoint homolog,Animal
1741,100075522,Red,21-28,23,1,PKN2,-,-,Ensembl:ENSOANG00000009127,4,protein kinase N2,protein-coding,serine/threonine-protein kinase N2,Animal
1742,100075523,Yellow,13-20,18,1,UBE2Q2,-,-,Ensembl:ENSOANG00000006967,5,ubiquitin conjugating enzyme E2 Q2,protein-coding,ubiquitin-conjugating enzyme E2 Q2|ubiquitin-conjugating enzyme E2Q family member 2,Animal
1743,100075524,Yellow,21-28,23,1,MDM4,-,-,Ensembl:ENSOANG00000013464,7,MDM4 regulator of p53,protein-coding,"protein Mdm4|MDM4, p53 regulator",Animal
1744,100075526,Red,13-20,18,0,ORNANAV1R-PS3370,-,-,-,-,vomeronasal 1 receptor ornAnaV1R-ps3370 pseudogene,pseudo,-,Animal
1745,100075527,Yellow,21-28,27,1,NUP85,-,-,Ensembl:ENSOANG00000008323,Un,nucleoporin 85,protein-coding,nuclear pore complex protein Nup85|nucleoporin 85kDa,Animal
1746,100075528,Yellow,13-20,19,1,CDC42BPG,-,-,-,3,CDC42 binding protein kinase gamma,protein-coding,serine/threonine-protein kinase MRCK gamma,Animal
1747,100075532,Green,21-28,24,1,SLC46A1,-,-,Ensembl:ENSOANG00000013419,17,solute carrier family 46 member 1,protein-coding,"proton-coupled folate transporter|solute carrier family 46 (folate transporter), member 1",Animal
1748,100075534,Yellow,13-20,13,1,CDC26,-,-,Ensembl:ENSOANG00000009712,4,cell division cycle 26,protein-coding,anaphase-promoting complex subunit CDC26,Animal
1749,100075535,Yellow,13-20,20,0,MTMR14,-,-,Ensembl:ENSOANG00000015207,X1,myotubularin related protein 14,protein-coding,myotubularin-related protein 14,Animal
1750,100075536,Yellow,13-20,19,1,MKX,-,-,Ensembl:ENSOANG00000045734,13,mohawk homeobox,protein-coding,homeobox protein Mohawk,Animal
1751,100075537,Red,13-20,15,1,SPATA4,-,-,-,12,spermatogenesis associated 4,protein-coding,spermatogenesis-associated protein 4,Animal
1752,100075538,Red,21-28,21,1,SRP19,-,-,Ensembl:ENSOANG00000039869,X5,signal recognition particle 19,protein-coding,signal recognition particle 19 kDa protein,Animal
1753,100075539,Green,21-28,24,0,SUCLG1,-,-,Ensembl:ENSOANG00000002681,18,succinate-CoA ligase GDP/ADP-forming subunit alpha,protein-coding,"succinate--CoA ligase [ADP/GDP-forming] subunit alpha, mitochondrial|succinate-CoA ligase alpha subunit",Animal
1754,100075540,Yellow,21-28,21,1,CA10,-,-,Ensembl:ENSOANG00000002282,15,carbonic anhydrase 10,protein-coding,carbonic anhydrase-related protein 10|carbonic anhydrase X,Animal
1755,100075541,Red,21-28,28,1,CCR6,-,-,Ensembl:ENSOANG00000036707,21,C-C motif chemokine receptor 6,protein-coding,C-C chemokine receptor type 6|chemokine (C-C motif) receptor 6,Animal
1756,100075542,Red,21-28,24,1,HCRTR1,-,-,Ensembl:ENSOANG00000012365,16,hypocretin receptor 1,protein-coding,orexin receptor type 1|hypocretin (orexin) receptor 1,Animal
1757,100075543,Green,13-20,17,0,MTA1,-,-,Ensembl:ENSOANG00000004588,1,metastasis associated 1,protein-coding,metastasis-associated protein MTA1,Animal
1758,100075544,Red,21-28,28,1,SEMA3C,-,-,Ensembl:ENSOANG00000003486,13,semaphorin 3C,protein-coding,"semaphorin-3C|sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3C",Animal
1759,100075545,Green,13-20,19,0,POP4,-,-,Ensembl:ENSOANG00000020512,11,"POP4 homolog, ribonuclease P/MRP subunit",protein-coding,"ribonuclease P protein subunit p29|processing of precursor 4, ribonuclease P/MRP subunit",Animal
1760,100075547,Red,21-28,26,1,BICRAL,-,GLTSCR1L,Ensembl:ENSOANG00000008462,19,BRD4 interacting chromatin remodeling complex associated protein like,protein-coding,BRD4-interacting chromatin-remodeling complex-associated protein-like|BRD4 interacting chromatin remodelling complex associated protein like|GLTSCR1 like,Animal
1761,100075548,Red,5-12,11,1,CLINT1,-,-,Ensembl:ENSOANG00000005072,X1,clathrin interactor 1,protein-coding,clathrin interactor 1,Animal
1762,100075549,Green,21-28,27,0,GP9,-,-,-,X1,glycoprotein IX platelet,protein-coding,platelet glycoprotein IX,Animal
1763,100075550,Yellow,13-20,17,1,FOXA2,-,-,Ensembl:ENSOANG00000015108,1,forkhead box A2,protein-coding,hepatocyte nuclear factor 3-beta,Animal
1764,100075551,Yellow,5-12,12,0,NDUFS4,-,-,-,1,NADH:ubiquinone oxidoreductase subunit S4,protein-coding,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 4, mitochondrial|NADH dehydrogenase (ubiquinone) Fe-S protein 4, 18kDa (NADH-coenzyme Q reductase)",Animal
1765,100075552,Yellow,21-28,28,1,GCC1,-,-,Ensembl:ENSOANG00000000822,10,GRIP and coiled-coil domain containing 1,protein-coding,GRIP and coiled-coil domain-containing protein 1,Animal
1766,100075553,Yellow,13-20,16,1,C11H16orf87,-,-,Ensembl:ENSOANG00000002163,11,chromosome 11 C16orf87 homolog,protein-coding,UPF0547 protein C16orf87 homolog,Animal
1767,100075554,Red,13-20,14,1,METTL22,-,-,Ensembl:ENSOANG00000006572,2,methyltransferase like 22,protein-coding,methyltransferase-like protein 22,Animal
1768,100075555,Green,21-28,21,1,STXBP5,-,-,Ensembl:ENSOANG00000012319,2,syntaxin binding protein 5,protein-coding,syntaxin-binding protein 5|syntaxin binding protein 5 (tomosyn),Animal
1769,100075556,Yellow,13-20,13,1,PKD1L1,-,-,-,4,"polycystin 1 like 1, transient receptor potential channel interacting",protein-coding,polycystic kidney disease protein 1-like 1|polycystic kidney disease 1 like 1,Animal
1770,100075558,Red,21-28,22,1,ENTPD4,-,-,Ensembl:ENSOANG00000013881,5,ectonucleoside triphosphate diphosphohydrolase 4,protein-coding,ectonucleoside triphosphate diphosphohydrolase 4,Animal
1771,100075561,Yellow,13-20,14,0,ADCK5,-,-,Ensembl:ENSOANG00000002640,4,aarF domain containing kinase 5,protein-coding,uncharacterized aarF domain-containing protein kinase 5,Animal
1772,100075564,Red,21-28,27,1,TBL2,-,-,Ensembl:ENSOANG00000013476,17,transducin beta like 2,protein-coding,transducin beta-like protein 2,Animal
1773,100075565,Red,13-20,13,0,NR4A3,-,-,Ensembl:ENSOANG00000050764,X3,nuclear receptor subfamily 4 group A member 3,protein-coding,nuclear receptor subfamily 4 group A member 3,Animal
1774,100075566,Yellow,13-20,14,0,LOC100075566,-,-,Ensembl:ENSOANG00000044748,5,cytochrome b5,protein-coding,cytochrome b5,Animal
1775,100075567,Red,21-28,28,1,SMCO1,-,-,-,1,single-pass membrane protein with coiled-coil domains 1,protein-coding,single-pass membrane and coiled-coil domain-containing protein 1,Animal
1776,100075568,Yellow,21-28,28,1,DNAH7,-,-,Ensembl:ENSOANG00000013107,7,dynein axonemal heavy chain 7,protein-coding,"dynein heavy chain 7, axonemal",Animal
1777,100075569,Yellow,21-28,27,1,SLC3A2,-,-,Ensembl:ENSOANG00000010311,3,solute carrier family 3 member 2,protein-coding,"4F2 cell-surface antigen heavy chain|solute carrier family 3 (amino acid transporter heavy chain), member 2",Animal
1778,100075570,Red,21-28,23,0,DDX25,-,-,Ensembl:ENSOANG00000012968,11,DEAD-box helicase 25,protein-coding,ATP-dependent RNA helicase DDX25|DEAD (Asp-Glu-Ala-Asp) box helicase 25,Animal
1779,100075572,Red,13-20,14,1,SLC13A2,-,-,Ensembl:ENSOANG00000013420,17,solute carrier family 13 member 2,protein-coding,"solute carrier family 13 member 2|solute carrier family 13 (sodium-dependent dicarboxylate transporter), member 2",Animal
1780,100075573,Red,13-20,15,1,RNF130,-,-,Ensembl:ENSOANG00000020588,X1,ring finger protein 130,protein-coding,E3 ubiquitin-protein ligase RNF130,Animal
1781,100075574,Red,13-20,18,1,MPHOSPH9,-,-,Ensembl:ENSOANG00000012865,2,M-phase phosphoprotein 9,protein-coding,M-phase phosphoprotein 9,Animal
1782,100075575,Yellow,21-28,23,1,ALAD,-,-,Ensembl:ENSOANG00000039088,4,aminolevulinate dehydratase,protein-coding,delta-aminolevulinic acid dehydratase,Animal
1783,100075576,Yellow,13-20,19,1,LHFPL4,-,-,-,X1,LHFPL tetraspan subfamily member 4,protein-coding,LHFPL tetraspan subfamily member 4 protein|lipoma HMGIC fusion partner-like 4,Animal
1784,100075578,Red,13-20,15,1,ASB5,-,-,Ensembl:ENSOANG00000041691,12,ankyrin repeat and SOCS box containing 5,protein-coding,ankyrin repeat and SOCS box protein 5,Animal
1785,100075580,Red,21-28,24,1,REEP5,-,-,-,X5,receptor accessory protein 5,protein-coding,receptor expression-enhancing protein 5,Animal
1786,100075581,Red,21-28,22,1,KIF6,-,-,Ensembl:ENSOANG00000013156,19,kinesin family member 6,protein-coding,kinesin-like protein KIF6,Animal
1787,100075582,Yellow,21-28,23,1,NPBWR2,-,-,Ensembl:ENSOANG00000004915,8,neuropeptides B and W receptor 2,protein-coding,neuropeptides B/W receptor type 2|neuropeptides B/W receptor 2,Animal
1788,100075583,Yellow,5-12,9,0,CA2,-,-,Ensembl:ENSOANG00000002036,4,carbonic anhydrase 2,protein-coding,carbonic anhydrase 2|carbonic anhydrase II,Animal
1789,100075585,Red,21-28,27,1,GNPTAB,-,-,Ensembl:ENSOANG00000005574,14,N-acetylglucosamine-1-phosphate transferase subunits alpha and beta,protein-coding,N-acetylglucosamine-1-phosphotransferase subunits alpha/beta|N-acetylglucosamine-1-phosphate transferase alpha and beta subunits,Animal
1790,100075586,Red,21-28,26,1,ESRP1,-,-,Ensembl:ENSOANG00000004746,4,epithelial splicing regulatory protein 1,protein-coding,epithelial splicing regulatory protein 1,Animal
1791,100075589,Green,21-28,24,0,DDX27,-,-,Ensembl:ENSOANG00000006395,8,DEAD-box helicase 27,protein-coding,probable ATP-dependent RNA helicase DDX27|DEAD (Asp-Glu-Ala-Asp) box polypeptide 27,Animal
1792,100075590,Yellow,5-12,10,1,FAXC,-,-,Ensembl:ENSOANG00000037382,19,"failed axon connections homolog, metaxin like GST domain containing",protein-coding,failed axon connections homolog,Animal
1793,100075591,Red,21-28,24,1,PRPH2,-,-,Ensembl:ENSOANG00000008464,19,peripherin 2,protein-coding,peripherin-2,Animal
1794,100075592,Yellow,5-12,10,1,GYG2,-,-,Ensembl:ENSOANG00000010514,15,glycogenin 2,protein-coding,glycogenin-2,Animal
1795,100075593,Yellow,21-28,21,1,IQSEC1,-,-,Ensembl:ENSOANG00000006419,X1,IQ motif and Sec7 domain ArfGEF 1,protein-coding,IQ motif and SEC7 domain-containing protein 1|IQ motif and Sec7 domain 1,Animal
1796,100075595,Red,13-20,16,1,EFCAB11,-,-,Ensembl:ENSOANG00000009962,1,EF-hand calcium binding domain 11,protein-coding,EF-hand calcium-binding domain-containing protein 11,Animal
1797,100075598,Yellow,21-28,22,0,HMGB2,-,-,-,12,high mobility group box 2,protein-coding,high mobility group protein B2,Animal
1798,100075599,Yellow,5-12,9,1,MEGF10,-,-,Ensembl:ENSOANG00000012788,X2,multiple EGF like domains 10,protein-coding,multiple epidermal growth factor-like domains protein 10,Animal
1799,100075601,Yellow,13-20,15,0,ANO1,-,-,Ensembl:ENSOANG00000007411,3,anoctamin 1,protein-coding,"anoctamin-1|anoctamin 1, calcium activated chloride channel",Animal
1800,100075602,Yellow,21-28,27,1,CSTF3,-,-,Ensembl:ENSOANG00000015140,3,cleavage stimulation factor subunit 3,protein-coding,"cleavage stimulation factor subunit 3|cleavage stimulation factor, 3' pre-RNA, subunit 3, 77kDa",Animal
1801,100075604,Yellow,21-28,25,1,EBAG9,-,-,-,4,estrogen receptor binding site associated antigen 9,protein-coding,receptor-binding cancer antigen expressed on SiSo cells,Animal
1802,100075605,Yellow,21-28,24,1,LRRN2,-,-,Ensembl:ENSOANG00000013466,7,leucine rich repeat neuronal 2,protein-coding,leucine-rich repeat neuronal protein 2,Animal
1803,100075606,Yellow,13-20,18,0,ORNANAV1R3128,-,-,Ensembl:ENSOANG00000038853,19,vomeronasal 1 receptor ornAnaV1R3128,protein-coding,vomeronasal 1 receptor ornAnaV1R3128,Animal
1804,100075607,Red,13-20,18,1,LOC100075607,-,-,Ensembl:ENSOANG00000002607,5,"beta-1,4-galactosyltransferase 3-like",protein-coding,"beta-1,4-galactosyltransferase 3-like",Animal
1805,100075608,Yellow,13-20,14,1,LOC100075608,-,-,-,2,olfactory receptor 52A1-like,protein-coding,olfactory receptor 52A1-like,Animal
1806,100075609,Red,21-28,25,1,URGCP,-,-,-,11,upregulator of cell proliferation,protein-coding,LOW QUALITY PROTEIN: up-regulator of cell proliferation,Animal
1807,100075610,Yellow,13-20,14,1,GXYLT1,-,-,Ensembl:ENSOANG00000003428,2,glucoside xylosyltransferase 1,protein-coding,glucoside xylosyltransferase 1,Animal
1808,100075611,Red,21-28,22,0,C2H12orf65,-,-,Ensembl:ENSOANG00000043205,2,chromosome 2 C12orf65 homolog,protein-coding,"probable peptide chain release factor C12orf65 homolog, mitochondrial",Animal
1809,100075612,Yellow,13-20,15,1,PCSK5,-,-,Ensembl:ENSOANG00000040724,X5,proprotein convertase subtilisin/kexin type 5,protein-coding,proprotein convertase subtilisin/kexin type 5,Animal
1810,100075613,Red,21-28,27,1,BSPRY,-,-,Ensembl:ENSOANG00000009715,4,B-box and SPRY domain containing,protein-coding,B box and SPRY domain-containing protein,Animal
1811,100075615,Yellow,13-20,17,1,ARMC4,-,-,Ensembl:ENSOANG00000006039,13,armadillo repeat containing 4,protein-coding,armadillo repeat-containing protein 4,Animal
1812,100075616,Yellow,21-28,24,1,APBB2,-,-,Ensembl:ENSOANG00000000996,18,amyloid beta precursor protein binding family B member 2,protein-coding,amyloid-beta A4 precursor protein-binding family B member 2,Animal
1813,100075617,Yellow,13-20,15,0,OPRL1,-,-,Ensembl:ENSOANG00000050101,8,opioid related nociceptin receptor 1,protein-coding,nociceptin receptor|opiate receptor-like 1,Animal
1814,100075618,Red,13-20,14,1,LOC100075618,-,-,Ensembl:ENSOANG00000009447,4,solute carrier family 22 member 12-like,protein-coding,solute carrier family 22 member 12-like|solute carrier family 22 member 24-like,Animal
1815,100075619,Yellow,13-20,14,1,RPA1,-,-,Ensembl:ENSOANG00000010880,17,replication protein A1,protein-coding,"replication protein A 70 kDa DNA-binding subunit|replication protein A1, 70kDa",Animal
1816,100075620,Yellow,21-28,24,1,LOC100075620,-,-,-,14,DNA damage-regulated autophagy modulator protein 1-like,protein-coding,DNA damage-regulated autophagy modulator protein 1-like,Animal
1817,100075621,Red,13-20,19,0,DPY19L4,-,-,Ensembl:ENSOANG00000002219,4,dpy-19 like 4,protein-coding,probable C-mannosyltransferase DPY19L4,Animal
1818,100075622,Yellow,13-20,16,1,TINAGL1,-,-,Ensembl:ENSOANG00000012366,16,tubulointerstitial nephritis antigen like 1,protein-coding,tubulointerstitial nephritis antigen-like,Animal
1819,100075623,Red,21-28,22,1,ADGRL2,-,LPHN2,Ensembl:ENSOANG00000004818,4,adhesion G protein-coupled receptor L2,protein-coding,adhesion G protein-coupled receptor L2|latrophilin 2,Animal
1820,100075625,Yellow,21-28,25,0,PCDHA5,-,-,Ensembl:ENSOANG00000007217,X2,protocadherin alpha 5,protein-coding,protocadherin alpha-11|protocadherin alpha-13|protocadherin alpha-2|protocadherin alpha-4|protocadherin alpha-5|protocadherin alpha-6|protocadherin alpha-C1|protocadherin alpha-C2,Animal
1821,100075626,Red,13-20,19,0,FUT9,-,-,Ensembl:ENSOANG00000008933,19,fucosyltransferase 9,protein-coding,"alpha-(1,3)-fucosyltransferase 9|fucosyltransferase 9 (alpha (1,3) fucosyltransferase)",Animal
1822,100075627,Yellow,13-20,18,1,UBR2,-,-,Ensembl:ENSOANG00000008465,19,ubiquitin protein ligase E3 component n-recognin 2,protein-coding,E3 ubiquitin-protein ligase UBR2,Animal
1823,100075628,Red,21-28,22,1,LOC100075628,-,-,Ensembl:ENSOANG00000010512,15,arylsulfatase D-like,protein-coding,arylsulfatase D-like,Animal
1824,100075629,Red,21-28,24,0,LSM11,-,-,Ensembl:ENSOANG00000005073,X1,"LSM11, U7 small nuclear RNA associated",protein-coding,U7 snRNA-associated Sm-like protein LSm11,Animal
1825,100075630,Yellow,21-28,27,0,PUM3,-,KIAA0020,Ensembl:ENSOANG00000014995,X5,pumilio RNA binding family member 3,protein-coding,pumilio homolog 3,Animal
1826,100075631,Yellow,13-20,19,1,TYRP1,-,-,-,X5,tyrosinase related protein 1,protein-coding,"5,6-dihydroxyindole-2-carboxylic acid oxidase",Animal
1827,100075632,Yellow,21-28,24,1,CALU,-,-,Ensembl:ENSOANG00000011440,10,calumenin,protein-coding,calumenin,Animal
1828,100075633,Yellow,13-20,13,1,DNAJA2,-,-,Ensembl:ENSOANG00000002162,11,DnaJ heat shock protein family (Hsp40) member A2,protein-coding,"dnaJ homolog subfamily A member 2|DnaJ (Hsp40) homolog, subfamily A, member 2",Animal
1829,100075634,Yellow,21-28,25,1,GALNT7,-,-,Ensembl:ENSOANG00000011495,12,polypeptide N-acetylgalactosaminyltransferase 7,protein-coding,N-acetylgalactosaminyltransferase 7,Animal
1830,100075635,Yellow,21-28,26,1,PTER,-,-,Ensembl:ENSOANG00000039794,13,phosphotriesterase related,protein-coding,phosphotriesterase-related protein,Animal
1831,100075636,Yellow,13-20,16,1,PLAGL1,-,-,Ensembl:ENSOANG00000014866,2,PLAG1 like zinc finger 1,protein-coding,zinc finger protein PLAGL1|pleiomorphic adenoma gene-like 1,Animal
1832,100075637,Yellow,13-20,19,1,ENOX1,-,-,Ensembl:ENSOANG00000004643,20,ecto-NOX disulfide-thiol exchanger 1,protein-coding,ecto-NOX disulfide-thiol exchanger 1,Animal
1833,100075638,Yellow,21-28,24,1,FADD,-,-,-,3,Fas associated via death domain,protein-coding,FAS-associated death domain protein|Fas (TNFRSF6)-associated via death domain,Animal
1834,100075639,Yellow,13-20,20,0,NUDCD1,-,-,Ensembl:ENSOANG00000008096,4,NudC domain containing 1,protein-coding,nudC domain-containing protein 1,Animal
1835,100075640,Red,21-28,22,1,ATRX,-,-,Ensembl:ENSOANG00000002389,6,ATRX chromatin remodeler,protein-coding,transcriptional regulator ATRX,Animal
1836,100075644,Green,5-12,12,0,MRPS7,-,-,Ensembl:ENSOANG00000008324,Un,mitochondrial ribosomal protein S7,protein-coding,"28S ribosomal protein S7, mitochondrial",Animal
1837,100075645,Red,21-28,21,0,ORNANAV1R-PS3438,-,-,-,-,vomeronasal 1 receptor ornAnaV1R-ps3438 pseudogene,pseudo,-,Animal
1838,100075646,Red,13-20,17,1,CYP2A.B,-,-,Ensembl:ENSOANG00000041196,5,cytochrome P450 2A.B,protein-coding,cytochrome P450 2A13,Animal
1839,100075648,Red,13-20,14,0,USP33,-,-,Ensembl:ENSOANG00000002941,4,ubiquitin specific peptidase 33,protein-coding,ubiquitin carboxyl-terminal hydrolase 33,Animal
1840,100075650,Yellow,21-28,26,1,PDZRN4,-,-,-,2,PDZ domain containing ring finger 4,protein-coding,LOW QUALITY PROTEIN: PDZ domain-containing RING finger protein 4,Animal
1841,100075651,Yellow,21-28,23,0,ANXA6,-,-,Ensembl:ENSOANG00000006565,X1,annexin A6,protein-coding,annexin A6,Animal
1842,100075652,Red,21-28,28,1,PPP1R3C,-,-,Ensembl:ENSOANG00000040004,3,protein phosphatase 1 regulatory subunit 3C,protein-coding,protein phosphatase 1 regulatory subunit 3C,Animal
1843,100075653,Red,13-20,14,1,LOC100075653,-,-,Ensembl:ENSOANG00000011228,1,inhibitor of carbonic anhydrase-like,protein-coding,inhibitor of carbonic anhydrase-like,Animal
1844,100075654,Red,13-20,13,1,FOXN1,-,-,Ensembl:ENSOANG00000014185,17,forkhead box N1,protein-coding,forkhead box protein N1,Animal
1845,100075655,Yellow,13-20,19,1,CDK2AP1,-,-,Ensembl:ENSOANG00000036998,2,cyclin dependent kinase 2 associated protein 1,protein-coding,cyclin-dependent kinase 2-associated protein 1,Animal
1846,100075656,Yellow,5-12,6,1,GCNT1,-,-,Ensembl:ENSOANG00000005174,X5,glucosaminyl (N-acetyl) transferase 1,protein-coding,"beta-1,3-galactosyl-O-glycosyl-glycoprotein beta-1,6-N-acetylglucosaminyltransferase|beta-1,6-N-acetylglucosaminyltransferase|glucosaminyl (N-acetyl) transferase 1, core 2",Animal
1847,100075657,Yellow,13-20,15,1,HDHD3,-,-,Ensembl:ENSOANG00000041831,4,haloacid dehalogenase like hydrolase domain containing 3,protein-coding,haloacid dehalogenase-like hydrolase domain-containing protein 3,Animal
